date_id,month,year,day,quart
2/7/2023,2,2023,7,Q1
4/7/2023,4,2023,7,Q2
4/7/2023,4,2023,7,Q2
4/7/2023,4,2023,7,Q2
5/29/2023,5,2023,29,Q2
6/5/2023,6,2023,5,Q2
6/8/2023,6,2023,8,Q2
6/10/2023,6,2023,10,Q2
6/10/2023,6,2023,10,Q2
6/10/2023,6,2023,10,Q2
6/10/2023,6,2023,10,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/15/2023,6,2023,15,Q2
6/16/2023,6,2023,16,Q2
6/16/2023,6,2023,16,Q2
6/16/2023,6,2023,16,Q2
6/17/2023,6,2023,17,Q2
6/17/2023,6,2023,17,Q2
6/23/2023,6,2023,23,Q2
6/26/2023,6,2023,26,Q2
6/26/2023,6,2023,26,Q2
6/28/2023,6,2023,28,Q2
6/29/2023,6,2023,29,Q2
7/1/2023,7,2023,1,Q3
7/1/2023,7,2023,1,Q3
7/1/2023,7,2023,1,Q3
7/1/2023,7,2023,1,Q3
7/1/2023,7,2023,1,Q3
7/1/2023,7,2023,1,Q3
7/1/2023,7,2023,1,Q3
7/1/2023,7,2023,1,Q3
7/1/2023,7,2023,1,Q3
7/1/2023,7,2023,1,Q3
7/2/2023,7,2023,2,Q3
7/7/2023,7,2023,7,Q3
7/13/2023,7,2023,13,Q3
7/16/2023,7,2023,16,Q3
7/22/2023,7,2023,22,Q3
7/24/2023,7,2023,24,Q3
7/27/2023,7,2023,27,Q3
7/27/2023,7,2023,27,Q3
8/10/2023,8,2023,10,Q3
8/10/2023,8,2023,10,Q3
8/10/2023,8,2023,10,Q3
8/10/2023,8,2023,10,Q3
8/10/2023,8,2023,10,Q3
8/10/2023,8,2023,10,Q3
8/10/2023,8,2023,10,Q3
8/10/2023,8,2023,10,Q3
9/23/2023,9,2023,23,Q3
12/10/2023,12,2023,10,Q4
12/10/2023,12,2023,10,Q4
12/27/2023,12,2023,27,Q4
